# Data of size measurements for adult foraging penguins near Palmer Station, Antarctica
# Extracted from the R package {palmerpenguins}
# Originally published in: Gorman KB, Williams TD, Fraser WR (2014) Ecological Sexual Dimorphism and Environmental Variability within a Community of Antarctic Penguins (Genus Pygoscelis). PLoS ONE 9(3): e90081. doi:10.1371/journal.pone.0090081
sample_id	species	island	bill_length_mm	bill_depth_mm	flipper_length_mm	body_mass_g	sex	year
sample_42	adelie	dream	40.8	18.4	195	3900	male	2007
sample_43	adelie	dream	36	18.5	186	3100	female	2007
sample_44	adelie	dream	44.1	19.7	196	4400	male	2007
sample_45	adelie	dream	37	16.9	185	3000	female	2007
sample_46	adelie	dream	39.6	18.8	190	4600	male	2007
sample_47	adelie	dream	41.1	19	182	3425	male	2007
sample_48	adelie	dream	37.5	18.9	179	2975	NA	2007
sample_49	adelie	dream	36	17.9	190	3450	female	2007
sample_50	adelie	dream	42.3	21.2	191	4150	male	2007
sample_51	adelie	biscoe	39.6	17.7	186	3500	female	2008
sample_52	adelie	biscoe	40.1	18.9	188	4300	male	2008
sample_53	adelie	biscoe	35	17.9	190	3450	female	2008
sample_54	adelie	biscoe	42	19.5	200	4050	male	2008
sample_55	adelie	biscoe	34.5	18.1	187	2900	female	2008
sample_56	adelie	biscoe	41.4	18.6	191	3700	male	2008
sample_57	adelie	biscoe	39	17.5	186	3550	female	2008
sample_58	adelie	biscoe	40.6	18.8	193	3800	male	2008
sample_59	adelie	biscoe	36.5	16.6	181	2850	female	2008
sample_60	adelie	biscoe	37.6	19.1	194	3750	male	2008
sample_61	adelie	biscoe	35.7	16.9	185	3150	female	2008
sample_62	adelie	biscoe	41.3	21.1	195	4400	male	2008
sample_63	adelie	biscoe	37.6	17	185	3600	female	2008
sample_64	adelie	biscoe	41.1	18.2	192	4050	male	2008
sample_65	adelie	biscoe	36.4	17.1	184	2850	female	2008
sample_66	adelie	biscoe	41.6	18	192	3950	male	2008
sample_67	adelie	biscoe	35.5	16.2	195	3350	female	2008
sample_68	adelie	biscoe	41.1	19.1	188	4100	male	2008
sample_69	adelie	torgersen	35.9	16.6	190	3050	female	2008
sample_70	adelie	torgersen	41.8	19.4	198	4450	male	2008
sample_71	adelie	torgersen	33.5	19	190	3600	female	2008
sample_72	adelie	torgersen	39.7	18.4	190	3900	male	2008
sample_73	adelie	torgersen	39.6	17.2	196	3550	female	2008
sample_74	adelie	torgersen	45.8	18.9	197	4150	male	2008
sample_75	adelie	torgersen	35.5	17.5	190	3700	female	2008
sample_76	adelie	torgersen	42.8	18.5	195	4250	male	2008
sample_77	adelie	torgersen	40.9	16.8	191	3700	female	2008
sample_78	adelie	torgersen	37.2	19.4	184	3900	male	2008
sample_79	adelie	torgersen	36.2	16.1	187	3550	female	2008
sample_80	adelie	torgersen	42.1	19.1	195	4000	male	2008
sample_81	adelie	torgersen	34.6	17.2	189	3200	female	2008
sample_82	adelie	torgersen	42.9	17.6	196	4700	male	2008
sample_83	adelie	torgersen	36.7	18.8	187	3800	female	2008
sample_84	adelie	torgersen	35.1	19.4	193	4200	male	2008
sample_85	adelie	dream	37.3	17.8	191	3350	female	2008
sample_86	adelie	dream	41.3	20.3	194	3550	male	2008
sample_87	adelie	dream	36.3	19.5	190	3800	male	2008
sample_88	adelie	dream	36.9	18.6	189	3500	female	2008
sample_89	adelie	dream	38.3	19.2	189	3950	male	2008
sample_90	adelie	dream	38.9	18.8	190	3600	female	2008
sample_91	adelie	dream	35.7	18	202	3550	female	2008
sample_92	adelie	dream	41.1	18.1	205	4300	male	2008
sample_93	adelie	dream	34	17.1	185	3400	female	2008
sample_94	adelie	dream	39.6	18.1	186	4450	male	2008
sample_95	adelie	dream	36.2	17.3	187	3300	female	2008
sample_96	adelie	dream	40.8	18.9	208	4300	male	2008
sample_97	adelie	dream	38.1	18.6	190	3700	female	2008
sample_98	adelie	dream	40.3	18.5	196	4350	male	2008
sample_99	adelie	dream	33.1	16.1	178	2900	female	2008
sample_100	adelie	dream	43.2	18.5	192	4100	male	2008
sample_101	adelie	biscoe	35	17.9	192	3725	female	2009
sample_102	adelie	biscoe	41	20	203	4725	male	2009
sample_103	adelie	biscoe	37.7	16	183	3075	female	2009
sample_104	adelie	biscoe	37.8	20	190	4250	male	2009
sample_105	adelie	biscoe	37.9	18.6	193	2925	female	2009
sample_106	adelie	biscoe	39.7	18.9	184	3550	male	2009
sample_107	adelie	biscoe	38.6	17.2	199	3750	female	2009
sample_108	adelie	biscoe	38.2	20	190	3900	male	2009
sample_109	adelie	biscoe	38.1	17	181	3175	female	2009
sample_110	adelie	biscoe	43.2	19	197	4775	male	2009
sample_111	adelie	biscoe	38.1	16.5	198	3825	female	2009
sample_112	adelie	biscoe	45.6	20.3	191	4600	male	2009
sample_113	adelie	biscoe	39.7	17.7	193	3200	female	2009
sample_114	adelie	biscoe	42.2	19.5	197	4275	male	2009
sample_115	adelie	biscoe	39.6	20.7	191	3900	female	2009
sample_116	adelie	biscoe	42.7	18.3	196	4075	male	2009
sample_117	adelie	torgersen	38.6	17	188	2900	female	2009
sample_118	adelie	torgersen	37.3	20.5	199	3775	male	2009
sample_119	adelie	torgersen	35.7	17	189	3350	female	2009
sample_120	adelie	torgersen	41.1	18.6	189	3325	male	2009
sample_121	adelie	torgersen	36.2	17.2	187	3150	female	2009
sample_122	adelie	torgersen	37.7	19.8	198	3500	male	2009
sample_123	adelie	torgersen	40.2	17	176	3450	female	2009
sample_124	adelie	torgersen	41.4	18.5	202	3875	male	2009
sample_125	adelie	torgersen	35.2	15.9	186	3050	female	2009
sample_126	adelie	torgersen	40.6	19	199	4000	male	2009
sample_127	adelie	torgersen	38.8	17.6	191	3275	female	2009
sample_128	adelie	torgersen	41.5	18.3	195	4300	male	2009
sample_129	adelie	torgersen	39	17.1	191	3050	female	2009
sample_130	adelie	torgersen	44.1	18	210	4000	male	2009
sample_131	adelie	torgersen	38.5	17.9	190	3325	female	2009
sample_132	adelie	torgersen	43.1	19.2	197	3500	male	2009
sample_133	adelie	dream	36.8	18.5	193	3500	female	2009
sample_134	adelie	dream	37.5	18.5	199	4475	male	2009
sample_135	adelie	dream	38.1	17.6	187	3425	female	2009
sample_136	adelie	dream	41.1	17.5	190	3900	male	2009
sample_137	adelie	dream	35.6	17.5	191	3175	female	2009
sample_138	adelie	dream	40.2	20.1	200	3975	male	2009
sample_139	adelie	dream	37	16.5	185	3400	female	2009
sample_140	adelie	dream	39.7	17.9	193	4250	male	2009
sample_141	adelie	dream	40.2	17.1	193	3400	female	2009
sample_142	adelie	dream	40.6	17.2	187	3475	male	2009
sample_143	adelie	dream	32.1	15.5	188	3050	female	2009
sample_144	adelie	dream	40.7	17	190	3725	male	2009
sample_145	adelie	dream	37.3	16.8	192	3000	female	2009
sample_146	adelie	dream	39	18.7	185	3650	male	2009
sample_147	adelie	dream	39.2	18.6	190	4250	male	2009
sample_148	adelie	dream	36.6	18.4	184	3475	female	2009
sample_149	adelie	dream	36	17.8	195	3450	female	2009
sample_150	adelie	dream	37.8	18.1	193	3750	male	2009
sample_151	adelie	dream	36	17.1	187	3700	female	2009
sample_152	adelie	dream	41.5	18.5	201	4000	male	2009
sample_153	gentoo	biscoe	46.1	13.2	211	4500	female	2007
sample_154	gentoo	biscoe	50	16.3	230	5700	male	2007
sample_155	gentoo	biscoe	48.7	14.1	210	4450	female	2007
sample_156	gentoo	biscoe	50	15.2	218	5700	male	2007
sample_157	gentoo	biscoe	47.6	14.5	215	5400	male	2007
sample_158	gentoo	biscoe	46.5	13.5	210	4550	female	2007
sample_159	gentoo	biscoe	45.4	14.6	211	4800	female	2007
sample_160	gentoo	biscoe	46.7	15.3	219	5200	male	2007
sample_161	gentoo	biscoe	43.3	13.4	209	4400	female	2007
sample_162	gentoo	biscoe	46.8	15.4	215	5150	male	2007
sample_163	gentoo	biscoe	40.9	13.7	214	4650	female	2007
sample_164	gentoo	biscoe	49	16.1	216	5550	male	2007
sample_165	gentoo	biscoe	45.5	13.7	214	4650	female	2007
sample_166	gentoo	biscoe	48.4	14.6	213	5850	male	2007
sample_167	gentoo	biscoe	45.8	14.6	210	4200	female	2007
sample_168	gentoo	biscoe	49.3	15.7	217	5850	male	2007
sample_169	gentoo	biscoe	42	13.5	210	4150	female	2007
sample_170	gentoo	biscoe	49.2	15.2	221	6300	male	2007
sample_171	gentoo	biscoe	46.2	14.5	209	4800	female	2007
sample_172	gentoo	biscoe	48.7	15.1	222	5350	male	2007
sample_173	gentoo	biscoe	50.2	14.3	218	5700	male	2007
sample_174	gentoo	biscoe	45.1	14.5	215	5000	female	2007
sample_175	gentoo	biscoe	46.5	14.5	213	4400	female	2007
sample_176	gentoo	biscoe	46.3	15.8	215	5050	male	2007
sample_177	gentoo	biscoe	42.9	13.1	215	5000	female	2007
sample_178	gentoo	biscoe	46.1	15.1	215	5100	male	2007
sample_179	gentoo	biscoe	44.5	14.3	216	4100	NA	2007
sample_180	gentoo	biscoe	47.8	15	215	5650	male	2007
sample_181	gentoo	biscoe	48.2	14.3	210	4600	female	2007
sample_182	gentoo	biscoe	50	15.3	220	5550	male	2007
sample_183	gentoo	biscoe	47.3	15.3	222	5250	male	2007
sample_184	gentoo	biscoe	42.8	14.2	209	4700	female	2007
sample_185	gentoo	biscoe	45.1	14.5	207	5050	female	2007
sample_186	gentoo	biscoe	59.6	17	230	6050	male	2007
sample_187	gentoo	biscoe	49.1	14.8	220	5150	female	2008
sample_188	gentoo	biscoe	48.4	16.3	220	5400	male	2008
sample_189	gentoo	biscoe	42.6	13.7	213	4950	female	2008
sample_190	gentoo	biscoe	44.4	17.3	219	5250	male	2008
sample_191	gentoo	biscoe	44	13.6	208	4350	female	2008
sample_192	gentoo	biscoe	48.7	15.7	208	5350	male	2008
sample_193	gentoo	biscoe	42.7	13.7	208	3950	female	2008
sample_194	gentoo	biscoe	49.6	16	225	5700	male	2008
sample_195	gentoo	biscoe	45.3	13.7	210	4300	female	2008
sample_196	gentoo	biscoe	49.6	15	216	4750	male	2008
sample_197	gentoo	biscoe	50.5	15.9	222	5550	male	2008
sample_198	gentoo	biscoe	43.6	13.9	217	4900	female	2008
sample_199	gentoo	biscoe	45.5	13.9	210	4200	female	2008
sample_200	gentoo	biscoe	50.5	15.9	225	5400	male	2008
sample_201	gentoo	biscoe	44.9	13.3	213	5100	female	2008
sample_202	gentoo	biscoe	45.2	15.8	215	5300	male	2008
sample_203	gentoo	biscoe	46.6	14.2	210	4850	female	2008
sample_204	gentoo	biscoe	48.5	14.1	220	5300	male	2008
sample_205	gentoo	biscoe	45.1	14.4	210	4400	female	2008
sample_206	gentoo	biscoe	50.1	15	225	5000	male	2008
sample_207	gentoo	biscoe	46.5	14.4	217	4900	female	2008
sample_208	gentoo	biscoe	45	15.4	220	5050	male	2008
sample_209	gentoo	biscoe	43.8	13.9	208	4300	female	2008
sample_210	gentoo	biscoe	45.5	15	220	5000	male	2008
sample_211	gentoo	biscoe	43.2	14.5	208	4450	female	2008
sample_212	gentoo	biscoe	50.4	15.3	224	5550	male	2008
sample_213	gentoo	biscoe	45.3	13.8	208	4200	female	2008
sample_214	gentoo	biscoe	46.2	14.9	221	5300	male	2008
sample_215	gentoo	biscoe	45.7	13.9	214	4400	female	2008
sample_216	gentoo	biscoe	54.3	15.7	231	5650	male	2008
sample_217	gentoo	biscoe	45.8	14.2	219	4700	female	2008
sample_218	gentoo	biscoe	49.8	16.8	230	5700	male	2008
sample_219	gentoo	biscoe	46.2	14.4	214	4650	NA	2008
sample_220	gentoo	biscoe	49.5	16.2	229	5800	male	2008
sample_221	gentoo	biscoe	43.5	14.2	220	4700	female	2008
sample_222	gentoo	biscoe	50.7	15	223	5550	male	2008
sample_223	gentoo	biscoe	47.7	15	216	4750	female	2008
sample_224	gentoo	biscoe	46.4	15.6	221	5000	male	2008
sample_225	gentoo	biscoe	48.2	15.6	221	5100	male	2008
sample_226	gentoo	biscoe	46.5	14.8	217	5200	female	2008
sample_227	gentoo	biscoe	46.4	15	216	4700	female	2008
sample_228	gentoo	biscoe	48.6	16	230	5800	male	2008
sample_229	gentoo	biscoe	47.5	14.2	209	4600	female	2008
sample_230	gentoo	biscoe	51.1	16.3	220	6000	male	2008
sample_231	gentoo	biscoe	45.2	13.8	215	4750	female	2008
sample_232	gentoo	biscoe	45.2	16.4	223	5950	male	2008
sample_233	gentoo	biscoe	49.1	14.5	212	4625	female	2009
sample_234	gentoo	biscoe	52.5	15.6	221	5450	male	2009
sample_235	gentoo	biscoe	47.4	14.6	212	4725	female	2009
sample_236	gentoo	biscoe	50	15.9	224	5350	male	2009
sample_237	gentoo	biscoe	44.9	13.8	212	4750	female	2009
sample_238	gentoo	biscoe	50.8	17.3	228	5600	male	2009
sample_239	gentoo	biscoe	43.4	14.4	218	4600	female	2009
sample_240	gentoo	biscoe	51.3	14.2	218	5300	male	2009
sample_241	gentoo	biscoe	47.5	14	212	4875	female	2009
sample_242	gentoo	biscoe	52.1	17	230	5550	male	2009
sample_243	gentoo	biscoe	47.5	15	218	4950	female	2009
sample_244	gentoo	biscoe	52.2	17.1	228	5400	male	2009
sample_245	gentoo	biscoe	45.5	14.5	212	4750	female	2009
sample_246	gentoo	biscoe	49.5	16.1	224	5650	male	2009
sample_247	gentoo	biscoe	44.5	14.7	214	4850	female	2009
sample_248	gentoo	biscoe	50.8	15.7	226	5200	male	2009
sample_249	gentoo	biscoe	49.4	15.8	216	4925	male	2009
sample_250	gentoo	biscoe	46.9	14.6	222	4875	female	2009
sample_251	gentoo	biscoe	48.4	14.4	203	4625	female	2009
sample_252	gentoo	biscoe	51.1	16.5	225	5250	male	2009
sample_253	gentoo	biscoe	48.5	15	219	4850	female	2009
sample_254	gentoo	biscoe	55.9	17	228	5600	male	2009
sample_255	gentoo	biscoe	47.2	15.5	215	4975	female	2009
sample_256	gentoo	biscoe	49.1	15	228	5500	male	2009
sample_257	gentoo	biscoe	47.3	13.8	216	4725	NA	2009
sample_258	gentoo	biscoe	46.8	16.1	215	5500	male	2009
sample_259	gentoo	biscoe	41.7	14.7	210	4700	female	2009
sample_260	gentoo	biscoe	53.4	15.8	219	5500	male	2009
sample_261	gentoo	biscoe	43.3	14	208	4575	female	2009
sample_262	gentoo	biscoe	48.1	15.1	209	5500	male	2009
sample_263	gentoo	biscoe	50.5	15.2	216	5000	female	2009
sample_264	gentoo	biscoe	49.8	15.9	229	5950	male	2009
sample_265	gentoo	biscoe	43.5	15.2	213	4650	female	2009
sample_266	gentoo	biscoe	51.5	16.3	230	5500	male	2009
sample_267	gentoo	biscoe	46.2	14.1	217	4375	female	2009
sample_268	gentoo	biscoe	55.1	16	230	5850	male	2009
sample_269	gentoo	biscoe	44.5	15.7	217	4875	NA	2009
sample_270	gentoo	biscoe	48.8	16.2	222	6000	male	2009
sample_271	gentoo	biscoe	47.2	13.7	214	4925	female	2009
sample_272	gentoo	biscoe	NA	NA	NA	NA	NA	2009
sample_273	gentoo	biscoe	46.8	14.3	215	4850	female	2009
sample_274	gentoo	biscoe	50.4	15.7	222	5750	male	2009
sample_275	gentoo	biscoe	45.2	14.8	212	5200	female	2009
sample_276	gentoo	biscoe	49.9	16.1	213	5400	male	2009
sample_277	chinstrap	dream	46.5	17.9	192	3500	female	2007
sample_278	chinstrap	dream	50	19.5	196	3900	male	2007
sample_279	chinstrap	dream	51.3	19.2	193	3650	male	2007
sample_280	chinstrap	dream	45.4	18.7	188	3525	female	2007
sample_281	chinstrap	dream	52.7	19.8	197	3725	male	2007
sample_282	chinstrap	dream	45.2	17.8	198	3950	female	2007
sample_283	chinstrap	dream	46.1	18.2	178	3250	female	2007
sample_284	chinstrap	dream	51.3	18.2	197	3750	male	2007
sample_285	chinstrap	dream	46	18.9	195	4150	female	2007
sample_286	chinstrap	dream	51.3	19.9	198	3700	male	2007
sample_287	chinstrap	dream	46.6	17.8	193	3800	female	2007
sample_288	chinstrap	dream	51.7	20.3	194	3775	male	2007
sample_289	chinstrap	dream	47	17.3	185	3700	female	2007
sample_290	chinstrap	dream	52	18.1	201	4050	male	2007
sample_291	chinstrap	dream	45.9	17.1	190	3575	female	2007
sample_292	chinstrap	dream	50.5	19.6	201	4050	male	2007
sample_293	chinstrap	dream	50.3	20	197	3300	male	2007
sample_294	chinstrap	dream	58	17.8	181	3700	female	2007
sample_295	chinstrap	dream	46.4	18.6	190	3450	female	2007
sample_296	chinstrap	dream	49.2	18.2	195	4400	male	2007
sample_297	chinstrap	dream	42.4	17.3	181	3600	female	2007
sample_298	chinstrap	dream	48.5	17.5	191	3400	male	2007
sample_299	chinstrap	dream	43.2	16.6	187	2900	female	2007
sample_300	chinstrap	dream	50.6	19.4	193	3800	male	2007
sample_301	chinstrap	dream	46.7	17.9	195	3300	female	2007
sample_302	chinstrap	dream	52	19	197	4150	male	2007
sample_303	chinstrap	dream	50.5	18.4	200	3400	female	2008
sample_304	chinstrap	dream	49.5	19	200	3800	male	2008
sample_305	chinstrap	dream	46.4	17.8	191	3700	female	2008
sample_306	chinstrap	dream	52.8	20	205	4550	male	2008
sample_307	chinstrap	dream	40.9	16.6	187	3200	female	2008
sample_308	chinstrap	dream	54.2	20.8	201	4300	male	2008
sample_309	chinstrap	dream	42.5	16.7	187	3350	female	2008
sample_310	chinstrap	dream	51	18.8	203	4100	male	2008
sample_311	chinstrap	dream	49.7	18.6	195	3600	male	2008
sample_312	chinstrap	dream	47.5	16.8	199	3900	female	2008
sample_313	chinstrap	dream	47.6	18.3	195	3850	female	2008
sample_314	chinstrap	dream	52	20.7	210	4800	male	2008
sample_315	chinstrap	dream	46.9	16.6	192	2700	female	2008
sample_316	chinstrap	dream	53.5	19.9	205	4500	male	2008
sample_317	chinstrap	dream	49	19.5	210	3950	male	2008
sample_318	chinstrap	dream	46.2	17.5	187	3650	female	2008
sample_319	chinstrap	dream	50.9	19.1	196	3550	male	2008
sample_320	chinstrap	dream	45.5	17	196	3500	female	2008
sample_321	chinstrap	dream	50.9	17.9	196	3675	female	2009
sample_322	chinstrap	dream	50.8	18.5	201	4450	male	2009
sample_323	chinstrap	dream	50.1	17.9	190	3400	female	2009
sample_324	chinstrap	dream	49	19.6	212	4300	male	2009
sample_325	chinstrap	dream	51.5	18.7	187	3250	male	2009
sample_326	chinstrap	dream	49.8	17.3	198	3675	female	2009
sample_327	chinstrap	dream	48.1	16.4	199	3325	female	2009
sample_328	chinstrap	dream	51.4	19	201	3950	male	2009
sample_329	chinstrap	dream	45.7	17.3	193	3600	female	2009
sample_330	chinstrap	dream	50.7	19.7	203	4050	male	2009
sample_331	chinstrap	dream	42.5	17.3	187	3350	female	2009
sample_332	chinstrap	dream	52.2	18.8	197	3450	male	2009
sample_333	chinstrap	dream	45.2	16.6	191	3250	female	2009
sample_334	chinstrap	dream	49.3	19.9	203	4050	male	2009
sample_335	chinstrap	dream	50.2	18.8	202	3800	male	2009
sample_336	chinstrap	dream	45.6	19.4	194	3525	female	2009
sample_337	chinstrap	dream	51.9	19.5	206	3950	male	2009
sample_338	chinstrap	dream	46.8	16.5	189	3650	female	2009
sample_339	chinstrap	dream	45.7	17	195	3650	female	2009
sample_340	chinstrap	dream	55.8	19.8	207	4000	male	2009
sample_341	chinstrap	dream	43.5	18.1	202	3400	female	2009
sample_342	chinstrap	dream	49.6	18.2	193	3775	male	2009
sample_343	chinstrap	dream	50.8	19	210	4100	male	2009
sample_344	chinstrap	dream	50.2	18.7	198	3775	female	2009
