sample_id	species	island	bill_length_mm	bill_depth_mm	flipper_length_mm	body_mass_g	sex	year	PC1	PC2	cluster
sample_33	adelie	dream	39.5	17.8	188.0	3300.0	female	2007	-1.6568325798169967	-0.3282863316509815	0
sample_34	adelie	dream	40.9	18.9	184.0	3900.0	male	2007	-1.5184029121167204	0.32640824225913945	0
sample_35	adelie	dream	36.4	17.0	195.0	3325.0	female	2007	-1.4464668357538992	-0.9876852633151032	0
sample_36	adelie	dream	39.2	21.1	196.0	4150.0	male	2007	-1.4406241041238306	1.0590958639832637	0
sample_37	adelie	dream	38.8	20.0	190.0	3950.0	male	2007	-1.6346614009137015	0.548223390810371	0
sample_38	adelie	dream	42.2	18.5	180.0	3550.0	female	2007	-1.7333511214492883	0.27239450569070583	0
sample_39	adelie	dream	37.6	19.3	181.0	3300.0	female	2007	-2.4076590846837593	0.06734515079846685	0
sample_40	adelie	dream	39.8	19.1	184.0	4650.0	male	2007	-1.137647440969392	0.3578098202660603	0
sample_41	adelie	dream	36.5	18.0	182.0	3150.0	female	2007	-2.2965708023957245	-0.5938011437355921	0
sample_42	adelie	dream	40.8	18.4	195.0	3900.0	male	2007	-0.9718487728884085	0.1175099892033445	0
sample_43	adelie	dream	36.0	18.5	186.0	3100.0	female	2007	-2.308906679804658	-0.4494041386062339	0
sample_44	adelie	dream	44.1	19.7	196.0	4400.0	male	2007	-0.5784019463304612	1.054586456045834	2
sample_45	adelie	dream	37.0	16.9	185.0	3000.0	female	2007	-2.010679918021815	-0.9972710192731974	0
sample_46	adelie	dream	39.6	18.8	190.0	4600.0	male	2007	-0.8802626199464427	0.21207920021763327	0
sample_47	adelie	dream	41.1	19.0	182.0	3425.0	male	2007	-1.9292558693804411	0.3428815276212996	0
sample_49	adelie	dream	36.0	17.9	190.0	3450.0	female	2007	-1.7829852819510408	-0.6574109526886489	0
sample_50	adelie	dream	42.3	21.2	191.0	4150.0	male	2007	-1.4094013969360193	1.4382609657150662	0
sample_51	adelie	biscoe	39.6	17.7	186.0	3500.0	female	2008	-1.5739289489096155	-0.33959241093173914	0
sample_52	adelie	biscoe	40.1	18.9	188.0	4300.0	male	2008	-1.1465438880734629	0.2781705919770342	0
sample_53	adelie	biscoe	35.0	17.9	190.0	3450.0	female	2008	-1.866083394326057	-0.7673276809668762	0
sample_54	adelie	biscoe	42.0	19.5	200.0	4050.0	male	2008	-0.7867338631345725	0.7111470798890637	0
sample_55	adelie	biscoe	34.5	18.1	187.0	2900.0	female	2008	-2.447892222206575	-0.7948512247556574	0
sample_56	adelie	biscoe	41.4	18.6	191.0	3700.0	male	2008	-1.2641825416942944	0.2437674252137711	0
sample_57	adelie	biscoe	39.0	17.5	186.0	3550.0	female	2008	-1.5490151862981498	-0.4817697394058202	0
sample_58	adelie	biscoe	40.6	18.8	193.0	3800.0	male	2008	-1.2204484062089178	0.2471540322932082	0
sample_59	adelie	biscoe	36.5	16.6	181.0	2850.0	female	2008	-2.258765287673685	-1.189622965099729	0
sample_60	adelie	biscoe	37.6	19.1	194.0	3750.0	male	2008	-1.523592562227518	0.034535965841317025	0
sample_61	adelie	biscoe	35.7	16.9	185.0	3150.0	female	2008	-2.0161569594600253	-1.1258972621088004	0
sample_62	adelie	biscoe	41.3	21.1	195.0	4400.0	male	2008	-1.1364179357737234	1.3132832361099693	0
sample_63	adelie	biscoe	37.6	17.0	185.0	3600.0	female	2008	-1.5709135962429162	-0.8337677368606372	0
sample_64	adelie	biscoe	41.1	18.2	192.0	4050.0	male	2008	-0.9274318321987192	0.08252726072722395	0
sample_65	adelie	biscoe	36.4	17.1	184.0	2850.0	female	2008	-2.2448957939691185	-0.9969176978181069	0
sample_66	adelie	biscoe	41.6	18.0	192.0	3950.0	male	2008	-0.9136606506240461	0.04699282943310088	0
sample_67	adelie	biscoe	35.5	16.2	195.0	3350.0	female	2008	-1.3418068721697067	-1.4081625727078613	0
sample_68	adelie	biscoe	41.1	19.1	188.0	4100.0	male	2008	-1.2407689103842332	0.4500491078363151	0
sample_69	adelie	torgersen	35.9	16.6	190.0	3050.0	female	2008	-1.800933770423119	-1.2328299559556908	0
sample_70	adelie	torgersen	41.8	19.4	198.0	4450.0	male	2008	-0.5920256597406159	0.6858866540262935	0
sample_71	adelie	torgersen	33.5	19.0	190.0	3600.0	female	2008	-2.111420264916151	-0.4725337423043255	0
sample_72	adelie	torgersen	39.7	18.4	190.0	3900.0	male	2008	-1.2693435734323124	-0.00546639757465944	0
sample_73	adelie	torgersen	39.6	17.2	196.0	3550.0	female	2008	-1.026098872280309	-0.5331574203187379	0
sample_74	adelie	torgersen	45.8	18.9	197.0	4150.0	male	2008	-0.4044787737086854	0.8941528134463548	2
sample_75	adelie	torgersen	35.5	17.5	190.0	3700.0	female	2008	-1.5724385734162873	-0.8505583959159595	0
sample_76	adelie	torgersen	42.8	18.5	195.0	4250.0	male	2008	-0.5866626015333377	0.4111208513286024	0
sample_77	adelie	torgersen	40.9	16.8	191.0	3700.0	female	2008	-0.940429441501453	-0.5400330742679225	0
sample_78	adelie	torgersen	37.2	19.4	184.0	3900.0	male	2008	-1.927338749121044	0.12217249633597126	0
sample_79	adelie	torgersen	36.2	16.1	187.0	3550.0	female	2008	-1.45634862615498	-1.3560001978280265	0
sample_80	adelie	torgersen	42.1	19.1	195.0	4000.0	male	2008	-0.9375161734048164	0.5533506801045506	0
sample_81	adelie	torgersen	34.6	17.2	189.0	3200.0	female	2008	-1.9693955727077226	-1.118922417478159	0
sample_82	adelie	torgersen	42.9	17.6	196.0	4700.0	male	2008	-0.046832822771452745	0.1009015653978035	0
sample_83	adelie	torgersen	36.7	18.8	187.0	3800.0	female	2008	-1.7918352967891449	-0.18400279079822332	0
sample_84	adelie	torgersen	35.1	19.4	193.0	4200.0	male	2008	-1.5257873973334621	-0.07639925098660309	0
sample_85	adelie	dream	37.3	17.8	191.0	3350.0	female	2008	-1.6818127993334309	-0.5641071744845447	0
sample_86	adelie	dream	41.3	20.3	194.0	3550.0	male	2008	-1.5963983235592714	0.9081019454643536	0
sample_87	adelie	dream	36.3	19.5	190.0	3800.0	male	2008	-1.8434843652837891	0.05670991748243874	0
sample_88	adelie	dream	36.9	18.6	189.0	3500.0	female	2008	-1.857292804353503	-0.2707057182084894	0
sample_89	adelie	dream	38.3	19.2	189.0	3950.0	male	2008	-1.5550713185406646	0.1689215916068308	0
sample_90	adelie	dream	38.9	18.8	190.0	3600.0	female	2008	-1.6221013296043583	0.040034130915592554	0
sample_91	adelie	dream	35.7	18.0	202.0	3550.0	female	2008	-1.265233772172031	-0.6354212398674424	0
sample_92	adelie	dream	41.1	18.1	205.0	4300.0	male	2008	-0.2003938801849117	0.07118863360987285	0
sample_93	adelie	dream	34.0	17.1	185.0	3400.0	female	2008	-2.0270953712354083	-1.2079974008224565	0
sample_94	adelie	dream	39.6	18.1	186.0	4450.0	male	2008	-1.0056206764373936	-0.08727930043480338	0
sample_95	adelie	dream	36.2	17.3	187.0	3300.0	female	2008	-1.870800904824064	-0.893881280809794	0
sample_96	adelie	dream	40.8	18.9	208.0	4300.0	male	2008	-0.2640277016854065	0.36338424445961137	0
sample_97	adelie	dream	38.1	18.6	190.0	3700.0	female	2008	-1.5796236879181254	-0.11937137523876931	0
sample_98	adelie	dream	40.3	18.5	196.0	4350.0	male	2008	-0.6848235039850609	0.1462529637181535	0
sample_99	adelie	dream	33.1	16.1	178.0	2900.0	female	2008	-2.529294673141038	-1.7622816133797818	0
sample_100	adelie	dream	43.2	18.5	192.0	4100.0	male	2008	-0.779625987391473	0.4395812473106289	0
sample_101	adelie	biscoe	35.0	17.9	192.0	3725.0	female	2009	-1.5956393850297665	-0.740347062833592	0
sample_102	adelie	biscoe	41.0	20.0	203.0	4725.0	male	2009	-0.3861753996456231	0.8691220593876963	0
sample_103	adelie	biscoe	37.7	16.0	183.0	3075.0	female	2009	-1.8010196596170283	-1.278444819455463	0
sample_104	adelie	biscoe	37.8	20.0	190.0	4250.0	male	2009	-1.5126585039900968	0.46683767038432816	0
sample_105	adelie	biscoe	37.9	18.6	193.0	2925.0	female	2009	-2.002435458255735	-0.21381903310938527	0
sample_106	adelie	biscoe	39.7	18.9	184.0	3550.0	male	2009	-1.857405157815131	0.1612219924977187	0
sample_107	adelie	biscoe	38.6	17.2	199.0	3750.0	female	2009	-0.8488108522974128	-0.622812685292336	0
sample_108	adelie	biscoe	38.2	20.0	190.0	3900.0	male	2009	-1.718703769888481	0.47751818586807115	0
sample_109	adelie	biscoe	38.1	17.0	181.0	3175.0	female	2009	-1.9847938047735636	-0.8208826890496819	0
sample_110	adelie	biscoe	43.2	19.0	197.0	4775.0	male	2009	-0.21353466075495295	0.7083001493562705	2
sample_111	adelie	biscoe	38.1	16.5	198.0	3825.0	female	2009	-0.738240081843074	-0.9544905027915752	0
sample_112	adelie	biscoe	45.6	20.3	191.0	4600.0	male	2009	-0.6448750339603588	1.4793616131402034	2
sample_113	adelie	biscoe	39.7	17.7	193.0	3200.0	female	2009	-1.4821985192667944	-0.3542365660153642	0
sample_114	adelie	biscoe	42.2	19.5	197.0	4275.0	male	2009	-0.7399406098444349	0.7532878900306749	0
sample_115	adelie	biscoe	39.6	20.7	191.0	3900.0	female	2009	-1.70321098688065	0.9152538107807608	0
sample_116	adelie	biscoe	42.7	18.3	196.0	4075.0	male	2009	-0.632808164322052	0.30291722823888845	0
sample_117	adelie	torgersen	38.6	17.0	188.0	2900.0	female	2009	-1.8427323794058506	-0.789182568834334	0
sample_118	adelie	torgersen	37.3	20.5	199.0	3775.0	male	2009	-1.60946726764069	0.5728837333950464	0
sample_119	adelie	torgersen	35.7	17.0	189.0	3350.0	female	2009	-1.7348480159591888	-1.0647309719285252	0
sample_120	adelie	torgersen	41.1	18.6	189.0	3325.0	male	2009	-1.62792298780263	0.17430145264629085	0
sample_121	adelie	torgersen	36.2	17.2	187.0	3150.0	female	2009	-1.9530568452300212	-0.9486380144771412	0
sample_122	adelie	torgersen	37.7	19.8	198.0	3500.0	male	2009	-1.663392706897227	0.30684479551866417	0
sample_123	adelie	torgersen	40.2	17.0	176.0	3450.0	female	2009	-1.8283653871936794	-0.5659721214728568	0
sample_124	adelie	torgersen	41.4	18.5	202.0	3875.0	male	2009	-0.670854592777696	0.22446885186459054	0
sample_125	adelie	torgersen	35.2	15.9	186.0	3050.0	female	2009	-1.8819100009272698	-1.5948646624767944	0
sample_126	adelie	torgersen	40.6	19.0	199.0	4000.0	male	2009	-0.8769992761788787	0.3496387464835186	0
sample_127	adelie	torgersen	38.8	17.6	191.0	3275.0	female	2009	-1.5678517546088562	-0.48734729351275863	0
sample_128	adelie	torgersen	41.5	18.3	195.0	4300.0	male	2009	-0.6199175175843832	0.1920018130597629	0
sample_129	adelie	torgersen	39.0	17.1	191.0	3050.0	female	2009	-1.6035850678910548	-0.6892183524525234	0
sample_130	adelie	torgersen	44.1	18.0	210.0	4000.0	male	2009	0.07018088881625544	0.33398456652306974	2
sample_131	adelie	torgersen	38.5	17.9	190.0	3325.0	female	2009	-1.6606987548879255	-0.3945070519314912	0
sample_132	adelie	torgersen	43.1	19.2	197.0	3500.0	male	2009	-1.1341128899983	0.6570341526391726	0
sample_133	adelie	dream	36.8	18.5	193.0	3500.0	female	2009	-1.6804385498025427	-0.3205342322400035	0
sample_134	adelie	dream	37.5	18.5	199.0	4475.0	male	2009	-0.708387338601849	-0.1483851641192994	0
sample_135	adelie	dream	38.1	17.6	187.0	3425.0	female	2009	-1.6883394301671657	-0.5516778879189888	0
sample_136	adelie	dream	41.1	17.5	190.0	3900.0	male	2009	-0.9703551379171151	-0.21600404565643078	0
sample_137	adelie	dream	35.6	17.5	191.0	3175.0	female	2009	-1.8818381530650954	-0.8890823896950684	0
sample_138	adelie	dream	40.2	20.1	200.0	3975.0	male	2009	-1.1093531031943737	0.7491115954727362	0
sample_139	adelie	dream	37.0	16.5	185.0	3400.0	female	2009	-1.656033648650243	-1.1211945944353021	0
sample_140	adelie	dream	39.7	17.9	193.0	4250.0	male	2009	-0.8049341152083256	-0.1733955790502103	0
sample_141	adelie	dream	40.2	17.1	193.0	3400.0	female	2009	-1.1821480714200894	-0.52320490842232	0
sample_142	adelie	dream	40.6	17.2	187.0	3475.0	male	2009	-1.3652323907064434	-0.4340958182130752	0
sample_143	adelie	dream	32.1	15.5	188.0	3050.0	female	2009	-1.9759011415438548	-2.0967442448355347	0
sample_144	adelie	dream	40.7	17.0	190.0	3725.0	male	2009	-1.0217638170745535	-0.4790699735877678	0
sample_145	adelie	dream	37.3	16.8	192.0	3000.0	female	2009	-1.6769342923620174	-1.0018920505902467	0
sample_146	adelie	dream	39.0	18.7	185.0	3650.0	male	2009	-1.7654003295051195	0.013221756305569808	0
sample_147	adelie	dream	39.2	18.6	190.0	4250.0	male	2009	-1.1121972472581354	0.05384387359628548	0
sample_148	adelie	dream	36.6	18.4	184.0	3475.0	female	2009	-2.064811737285573	-0.3891087658341038	0
sample_149	adelie	dream	36.0	17.8	195.0	3450.0	female	2009	-1.5566038407763023	-0.6958341967579479	0
sample_150	adelie	dream	37.8	18.1	193.0	3750.0	male	2009	-1.345244672705265	-0.3488065830499732	0
sample_151	adelie	dream	36.0	17.1	187.0	3700.0	female	2009	-1.5733633864142003	-0.9588057421450357	0
sample_152	adelie	dream	41.5	18.5	201.0	4000.0	male	2009	-0.618303403052046	0.24693484749643266	0
sample_153	gentoo	biscoe	46.1	13.2	211.0	4500.0	female	2007	1.5935685881311987	-1.3417957276126573	1
sample_154	gentoo	biscoe	50.0	16.3	230.0	5700.0	male	2007	2.8920539043835793	0.4640900116134818	1
sample_155	gentoo	biscoe	48.7	14.1	210.0	4450.0	female	2007	1.551571725180019	-0.6967599315277312	1
sample_156	gentoo	biscoe	50.0	15.2	218.0	5700.0	male	2007	2.6206856064251327	0.013723318846991324	1
sample_157	gentoo	biscoe	47.6	14.5	215.0	5400.0	male	2007	2.2345589509711097	-0.5632872364648915	1
sample_158	gentoo	biscoe	46.5	13.5	210.0	4550.0	female	2007	1.5588902665146396	-1.1720137762366298	1
sample_159	gentoo	biscoe	45.4	14.6	211.0	4800.0	female	2007	1.4563770193603698	-0.8233292131776699	1
sample_160	gentoo	biscoe	46.7	15.3	219.0	5200.0	male	2007	2.0255496312328014	-0.35564873734915275	1
sample_161	gentoo	biscoe	43.3	13.4	209.0	4400.0	female	2007	1.169502991122352	-1.5789176375286946	1
sample_162	gentoo	biscoe	46.8	15.4	215.0	5150.0	male	2007	1.8145118751320706	-0.3105753912930042	1
sample_163	gentoo	biscoe	40.9	13.7	214.0	4650.0	female	2007	1.2861882133724922	-1.6954002706239018	1
sample_164	gentoo	biscoe	49.0	16.1	216.0	5550.0	male	2007	2.1699511604380763	0.2531349600451808	1
sample_165	gentoo	biscoe	45.5	13.7	214.0	4650.0	female	2007	1.6684395302975672	-1.1897833205440567	1
sample_166	gentoo	biscoe	48.4	14.6	213.0	5850.0	male	2007	2.505959639803147	-0.39289330659156113	1
sample_167	gentoo	biscoe	45.8	14.6	210.0	4200.0	female	2007	1.0381968703268565	-0.8368381347051389	1
sample_168	gentoo	biscoe	49.3	15.7	217.0	5850.0	male	2007	2.5223772358088903	0.15308966455020537	1
sample_169	gentoo	biscoe	42.0	13.5	210.0	4150.0	female	2007	0.9114807484289048	-1.7046803972915645	1
sample_170	gentoo	biscoe	49.2	15.2	221.0	6300.0	male	2007	3.0880612612811937	-0.01590725666804855	1
sample_171	gentoo	biscoe	46.2	14.5	209.0	4800.0	female	2007	1.4607153227311813	-0.7767142545651239	1
sample_172	gentoo	biscoe	48.7	15.1	222.0	5350.0	male	2007	2.458537615277682	-0.20129144494594267	1
sample_173	gentoo	biscoe	50.2	14.3	218.0	5700.0	male	2007	2.8199563070903104	-0.32871440316865225	1
sample_174	gentoo	biscoe	45.1	14.5	215.0	5000.0	female	2007	1.7533456576354074	-0.8761204009633721	1
sample_175	gentoo	biscoe	46.5	14.5	213.0	4400.0	female	2007	1.3770462455906334	-0.7801261913470048	1
sample_176	gentoo	biscoe	46.3	15.8	215.0	5050.0	male	2007	1.623417558871611	-0.21307917241782806	1
sample_177	gentoo	biscoe	42.9	13.1	215.0	5000.0	female	2007	1.8546537098173097	-1.6848144195530346	1
sample_178	gentoo	biscoe	46.1	15.1	215.0	5100.0	male	2007	1.7830433876498475	-0.5137459582868903	1
sample_180	gentoo	biscoe	47.8	15.0	215.0	5650.0	male	2007	2.3206232599781997	-0.3150719022261543	1
sample_181	gentoo	biscoe	48.2	14.3	210.0	4600.0	female	2007	1.5719840451551157	-0.6564703322582435	1
sample_182	gentoo	biscoe	50.0	15.3	220.0	5550.0	male	2007	2.5802752883050237	0.04077623893093602	1
sample_183	gentoo	biscoe	47.3	15.3	222.0	5250.0	male	2007	2.233244126366413	-0.28370274100368015	1
sample_184	gentoo	biscoe	42.8	14.2	209.0	4700.0	female	2007	1.1706984302866432	-1.2814151558855886	1
sample_185	gentoo	biscoe	45.1	14.5	207.0	5050.0	female	2007	1.4577901560949595	-0.8746740100631355	1
sample_186	gentoo	biscoe	59.6	17.0	230.0	6050.0	male	2007	3.7870183443286582	1.8360153871007918	1
sample_187	gentoo	biscoe	49.1	14.8	220.0	5150.0	female	2008	2.3334917959861112	-0.29864630902865286	1
sample_188	gentoo	biscoe	48.4	16.3	220.0	5400.0	male	2008	2.1418221614221595	0.25555626717222446	1
sample_189	gentoo	biscoe	42.6	13.7	213.0	4950.0	female	2008	1.591338638322364	-1.480424421833122	1
sample_190	gentoo	biscoe	44.4	17.3	219.0	5250.0	male	2008	1.4627161894529788	0.20612255041137686	1
sample_191	gentoo	biscoe	44.0	13.6	208.0	4350.0	female	2008	1.111681664362111	-1.4261622333611814	1
sample_192	gentoo	biscoe	48.7	15.7	208.0	5350.0	male	2008	1.759726974409684	0.03586557362011066	1
sample_193	gentoo	biscoe	42.7	13.7	208.0	3950.0	female	2008	0.709891541633076	-1.566604094184535	1
sample_194	gentoo	biscoe	49.6	16.0	225.0	5700.0	male	2008	2.713611475232245	0.29658164540647286	1
sample_195	gentoo	biscoe	45.3	13.7	210.0	4300.0	female	2008	1.2476658954290636	-1.2467072305648146	1
sample_196	gentoo	biscoe	49.6	15.0	216.0	4750.0	male	2008	1.8961142097436434	-0.2024012177475072	1
sample_197	gentoo	biscoe	50.5	15.9	222.0	5550.0	male	2008	2.5824917098049696	0.3395091757863579	1
sample_198	gentoo	biscoe	43.6	13.9	217.0	4900.0	female	2008	1.7645336222060133	-1.2926260135101857	1
sample_199	gentoo	biscoe	45.5	13.9	210.0	4200.0	female	2008	1.155329386317821	-1.1532517613773876	1
sample_200	gentoo	biscoe	50.5	15.9	225.0	5400.0	male	2008	2.603593331314491	0.32648446326343855	1
sample_201	gentoo	biscoe	44.9	13.3	213.0	5100.0	female	2008	1.9661930584076224	-1.3753153618321248	1
sample_202	gentoo	biscoe	45.2	15.8	215.0	5300.0	male	2008	1.7029271430079445	-0.310211733647057	1
sample_203	gentoo	biscoe	46.6	14.2	210.0	4850.0	female	2008	1.6302391373472933	-0.8490524873678417	1
sample_204	gentoo	biscoe	48.5	14.1	220.0	5300.0	male	2008	2.5282453829138816	-0.6337694502582785	1
sample_205	gentoo	biscoe	45.1	14.4	210.0	4400.0	female	2008	1.1573513263501316	-0.9757416320809497	1
sample_206	gentoo	biscoe	50.1	15.0	225.0	5000.0	male	2008	2.479537152156498	-0.11994463952205485	1
sample_207	gentoo	biscoe	46.5	14.4	217.0	4900.0	female	2008	1.9040453268767967	-0.7714113527970546	1
sample_208	gentoo	biscoe	45.0	15.4	220.0	5050.0	male	2008	1.8026551466888876	-0.5158678524725863	1
sample_209	gentoo	biscoe	43.8	13.9	208.0	4300.0	female	2008	0.9999948476072791	-1.3314270577684277	1
sample_210	gentoo	biscoe	45.5	15.0	220.0	5000.0	male	2008	1.8911989583000366	-0.6276295752738547	1
sample_211	gentoo	biscoe	43.2	14.5	208.0	4450.0	female	2008	0.9309190993714639	-1.1401642123617448	1
sample_212	gentoo	biscoe	50.4	15.3	224.0	5550.0	male	2008	2.778384034800139	0.08639731877979047	1
sample_213	gentoo	biscoe	45.3	13.8	208.0	4200.0	female	2008	1.0765695773136155	-1.2165535310430695	1
sample_214	gentoo	biscoe	46.2	14.9	221.0	5300.0	male	2008	2.2159805858907995	-0.5622344902337741	1
sample_215	gentoo	biscoe	45.7	13.9	214.0	4400.0	female	2008	1.473552516537014	-1.1105933552827219	1
sample_216	gentoo	biscoe	54.3	15.7	231.0	5650.0	male	2008	3.3781770468927728	0.6894429939213581	1
sample_217	gentoo	biscoe	45.8	14.2	219.0	4700.0	female	2008	1.8321665212744647	-0.9475289997069977	1
sample_218	gentoo	biscoe	49.8	16.8	230.0	5700.0	male	2008	2.773961460691812	0.6445628146641081	1
sample_220	gentoo	biscoe	49.5	16.2	229.0	5800.0	male	2008	2.897949040152687	0.37773715654945045	1
sample_221	gentoo	biscoe	43.5	14.2	220.0	4700.0	female	2008	1.6822582381982047	-1.199923877612529	1
sample_222	gentoo	biscoe	50.7	15.0	223.0	5550.0	male	2008	2.8229797858564254	-0.0025149490948955053	1
sample_223	gentoo	biscoe	47.7	15.0	216.0	4750.0	female	2008	1.7382277962311126	-0.4112430014761387	1
sample_224	gentoo	biscoe	46.4	15.6	221.0	5000.0	male	2008	1.885437249363712	-0.28534354424153285	1
sample_225	gentoo	biscoe	48.2	15.6	221.0	5100.0	male	2008	2.1033808547382824	-0.07798309738999533	1
sample_226	gentoo	biscoe	46.5	14.8	217.0	5200.0	female	2008	2.027968079202007	-0.5809154259798525	1
sample_227	gentoo	biscoe	46.4	15.0	216.0	4700.0	female	2008	1.5960167485938208	-0.5588899162131985	1
sample_228	gentoo	biscoe	48.6	16.0	230.0	5800.0	male	2008	2.904967242888155	0.19824323875092845	1
sample_229	gentoo	biscoe	47.5	14.2	209.0	4600.0	female	2008	1.4928925553496797	-0.7743168689286487	1
sample_230	gentoo	biscoe	51.1	16.3	220.0	6000.0	male	2008	2.776389083431946	0.6093934492278068	1
sample_231	gentoo	biscoe	45.2	13.8	215.0	4750.0	female	2008	1.7327999108275272	-1.1723431762011505	1
sample_232	gentoo	biscoe	45.2	16.4	223.0	5950.0	male	2008	2.3552842807850594	-0.0021383944446709833	1
sample_233	gentoo	biscoe	49.1	14.5	212.0	4625.0	female	2009	1.7057097193533644	-0.47335803906886664	1
sample_234	gentoo	biscoe	52.5	15.6	221.0	5450.0	male	2009	2.699987248799243	0.4279450100339296	1
sample_235	gentoo	biscoe	47.4	14.6	212.0	4725.0	female	2009	1.6125153671720243	-0.6102149114498707	1
sample_236	gentoo	biscoe	50.0	15.9	224.0	5350.0	male	2009	2.4866433981909357	0.26635733401456996	1
sample_237	gentoo	biscoe	44.9	13.8	212.0	4750.0	female	2009	1.5842183509561902	-1.2065589860877917	1
sample_238	gentoo	biscoe	50.8	17.3	228.0	5600.0	male	2009	2.6047849979779696	0.9465981614290976	1
sample_239	gentoo	biscoe	43.4	14.4	218.0	4600.0	female	2009	1.4825575446019024	-1.1402706211773526	1
sample_240	gentoo	biscoe	51.3	14.2	218.0	5300.0	male	2009	2.6581907825480195	-0.28633857560677045	1
sample_241	gentoo	biscoe	47.5	14.0	212.0	4875.0	female	2009	1.845143068518953	-0.8279051131434821	1
sample_242	gentoo	biscoe	52.1	17.0	230.0	5550.0	male	2009	2.8219474860183342	0.9640882452604476	1
sample_243	gentoo	biscoe	47.5	15.0	218.0	4950.0	female	2009	1.9407769307277443	-0.4133784809615463	1
sample_244	gentoo	biscoe	52.2	17.1	228.0	5400.0	male	2009	2.6249774775906176	1.0004784496346513	1
sample_245	gentoo	biscoe	45.5	14.5	212.0	4750.0	female	2009	1.4920152686777313	-0.8571703409320743	1
sample_246	gentoo	biscoe	49.5	16.1	224.0	5650.0	male	2009	2.6096062228153425	0.32091243721015	1
sample_247	gentoo	biscoe	44.5	14.7	214.0	4850.0	female	2009	1.5191297816881042	-0.8757670795082831	1
sample_248	gentoo	biscoe	50.8	15.7	226.0	5200.0	male	2009	2.573595262700898	0.25986994749733183	1
sample_249	gentoo	biscoe	49.4	15.8	216.0	4925.0	male	2009	1.8367803287460134	0.11618836244065711	1
sample_250	gentoo	biscoe	46.9	14.6	222.0	4875.0	female	2009	2.0856905694965993	-0.6467718003189828	1
sample_251	gentoo	biscoe	48.4	14.4	203.0	4625.0	female	2009	1.29687922645771	-0.5945133528143985	1
sample_252	gentoo	biscoe	51.1	16.5	225.0	5250.0	male	2009	2.429134308630074	0.6211163747518091	1
